artist, artist_normalized
"5: Modern Jazz Quartet","Modern Jazz Quartet"
"5 Royales","The 5 Royales"
"5- Solange","Solange"
"5 Swans","Swans"
"5th Dimension","The 5th Dimension"
"5th Dimension, The","The 5th Dimension"
"61- Black Marble","Black Marble"
"64- Sudan Archives","Sudan Archives"
"65- Jamila Woods","Jamila Woods"
"66 Association","Association"
"66- Kim Gordon","Kim Gordon"
"67- Lady Midnight","Lady Midnight"
"68- Drab Majesty","Drab Majesty"
"69- Palehound","Palehound"
"6 - Bon Iver"," Bon Iver "
"6-String Drag","6 String Drag"
"6th Circle","Circle Circle"
"72- The Controversial New ""Skinny Pill""","The Controversial New Skinny Pill"
"74- Black Belt Eagle Scout","Black Belt Eagle Scout"
"75- Lunch Duchess","Lunch Duchess"
"76- Nilufer Yanya","Nilufer Yanya"
"77- Show Me The Body","Show Me The Body"
"7 Horse","7Horse"
"7l & Esoteric","7L & Esoteric"
"7L & Esoteric ‎","7L & Esoteric"
"7L Esoteric","7L and Esoteric"
"7 Second","7 Seconds"
"7Seconds","7 Seconds"
"87th Off Broadway","Off Broadway"
"8-Bit Beatles"," Beatles "
"8 - Vampire Weekend","Vampire Weekend"
"94 East feat. Prince","94 East (feat. Prince)"
"9 - Big Thief","Big Thief"
"9th Ward Marching BAnd","9th Ward Marching Band"
"9th Wonder & Murs","Murs & 9th Wonder"
"A A Bondy","AA Bondy"
"Aahliyah","Aaliyah"
"Aaliya","Aaliyah"
"Aaliyah ","Aaliyah"
"Aarin Neville","Aaron Neville"
"Aaron and the Sea","Aaron and The Sea"
"Aaron Frazier","Aaron Frazer"
"Aaron  Lee Tasjan","Aaron Lee Tasjan"
"Aaron Neveille","Aaron Neville"
"A Band Of Bees","A Band of Bees"
"Abandoned","Los Abandoned"
"Abbe Lane & Tito Puente","Abbe Lane / Tito Puente"
"  Abbey Lincoln","Abbey Lincoln"
" Abbey Lincoln","Abbey Lincoln"
"Abbey Lincoln ‎","Abbey Lincoln"
"  Abbie Gardner","Abbie Gardner"
" Abbie Gardner","Abbie Gardner"
"Abby Girl And The Real Deal","Abby Girl and the Real Deal"
"Abby Lincoln","Abbey Lincoln"
"ABC ","ABC"
"Abdullah Ibrahim","Abdullah Ibrahim Trio"
"Abernathy","Rob Abernathy"
"Abe Schwartz Orchestra","Abe Schwartz's Orchestra"
"Abe Schwartz's Klezmer Orchestra","Abe Schwartz's Orchestra"
"Abigail Washburn & Bela Fleck","Bela Fleck and Abigail Washburn"
"Abigail Washburn  &  Sparrow Quartet","Abigail Washburn & the Sparrow Quartet"
"Abigail Washburn The Sparrow Quintet","Abigail Washburn & The Sparrow Quartet"
"Abigal Washburn","Abigail Washburn"
"Abolicao & Dom Salvador","Dom Salvador & Banda Abolicao"
"A Bossa Electrica","A Bossa Eletrica"
"A Bossa Elétrica","A Bossa Eletrica"
"Above, The","The The"
"Above the Law","Above The Law"
"Abraham Alexander & Adrian Quesada","Adrian Quesada and Abraham Alexander"
"Abraham Alexander and Adrian Quesada","Adrian Quesada and Abraham Alexander"
"A Breakaway","Breakaway"
"Abstract Rude and Tribe Unique","Abstract Tribe Unique"
"Abstract Rude & Tribe Unique","Abstract Tribe Unique"
"Abstract Rude + Tribe Unique","Abstract Tribe Unique"
"Abstract Tribe Unique feat. Eve","Abstract Tribe Unique"
"Abyssinians","The Abyssinians"
"Ac1d Vicious","Vicious Vicious"
"Academy of St. Martin in the Fields","Academy of St. Martin-in-the-Fields"
"Academy of St. Martin in the Fields ","Academy of St. Martin-in-the-Fields "
"Academy of St. Martin-in-the-Fields Neville Mariner","Academy of St. Martin-in-the-Fields"
"Accidentals","The Accidentals"
"AC / DC","AC DC"
"A. Celeste","Celeste"
"A Certain Radio","A Certain Ratio"
"A Certain ratio","A Certain Ratio"
"A Certian Ratio","A Certain Ratio"
"Aceylone","Aceyalone"
"Achitecture in Helsinki","Architecture in Helsinki"
"Acid Queen"," Queen "
"A. C. Newman","A.C. Newman"
"A.C Newman","A.C. Newman"
"A.C.Newman","A.C. Newman"
"A. C. Reed","A.C. Reed"
"AC Run DMC","Run DMC"
"Ac Sapphire","Sapphire"
"AC Sapphire","Sapphire"
"Action Action","Action Bronson"
"Action Broson","Action Bronson"
"Action Man","Man Man"
"Acyalone","Aceyalone"
"Adam and The Ants","Adam and the Ants"
"Adam Green & Binki Shapiro","Adam Green and Binki Shapiro"
"Adam Hood (feat. Brent Cobb)","Adam Hood ft. Brent Cobb"
"Adamson, Barry","Barry Adamson"
"Adam Wakefield","Adam  Wakefield"
"Add N to (X)","Add N To (X)"
"Ade & Connan Mockasin","Connan Mockasin"
"Adeem The Artist","Adeem the Artist"
"Adele H","Adele"
"Adian Young","Adrian Younge"
"Adia Victoria ","Adia Victoria"
"Adia Victoria�","Adia Victoria"
"Adorables","Adorable"
"Adriane Lenker","Adrianne Lenker"
"Adriane Young","Adrianne Young"
"  Adrian Legg","Adrian Legg"
" Adrian Legg","Adrian Legg"
"Adriano Calentano","Adriano Celentano"
"Adrian Quesada & Abraham Alexander","Adrian Quesada and Abraham Alexander"
"Adrian Quesada and Ocote Soul Sounds","Ocote Soul Sounds and Adrian Quesada"
"Adrian Quesada, Buffalo Hunt","Buffalo Buffalo Buffalo"
"Adrian Quesada & iLe","Adrian Quesada"
"Adrian Quesada & Ocote Soul Sounds","Ocote Soul Sounds and Adrian Quesada"
"Adrian Quesdada","Adrian Quesada"
"Adrian Yonge","Adrian Younge"
"Adrian Young","Adrian Younge"
"Adrian Young & Ali Shaheed Muhmmad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Young And Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge & Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge & Ali Shaheed Muhammed","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge And Ali Shaheed Muhammad","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge and Ali Shaheed Muhammad feat. Roy Ayers","Adrian Younge and Ali Shaheed Muhammad"
"Adrian Younge and Ali Shaheed Muhammed","Adrian Younge and Ali Shaheed Muhammad"
"Adrienne Lenker","Adrianne Lenker"
"Advisory Circle","Circle Circle"
"Aesop Rock & Homeboy Sandman","Aesop Rock and Homeboy Sandman"
"A Far Cry","Cry Cry Cry"
"Afel Bocoum, Damon Albarn, Toumani Diabate","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum Damon Albarn Toumani Diabate and Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum / Damon Albarn / Toumani Diabate And Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocoum, Damon Albarn, Toumani Diabeté & Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afel Bocum, Damon Albarn, Toumani Diabate & Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Afghan Wings","Afghan Whigs"
"Afiko Man","Man Man"
"Africa Bambaataa & The Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Africa Music Machine","African Music Machine"
"African Head Charge","American Head Charge"
"Africka Bambaata & John Lydon","Afrika Bambaata & John Lydon"
"Afrikaa Bambaataa","Afrika Bambaataa"
"Afrika Bambaata","Afrika Bambaataa"
"Afrika Bambaataa and Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrika Bambaataa and the Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrika Bambaataa & James Brown","Afrika Bambaataa and James Brown"
"Afrika Bambaataa & Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"Afrika Bambaataa & Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaataa & the Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"AFrika Bambaataa & The Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaata & James Brown","Afrika Bambaataa and James Brown"
"Afrika Bambaata & Soul Sonic Force","Afrika Bambaataa & The Soul Sonic Force"
"Afrika Bambaattaa & Soulsonic Force","Afrika Bambaataa & The Soulsonic Force"
"Afrika Bambata and The Soul Sonic Force","Afrika Bambaataa and The Soul Sonic Force"
"Afrocelt Sound System","Afro Celt Sound System"
"Afro Celt Soundsystem","Afro Celt Sound System"
"Afro Celt Sound System ","Afro Celt Sound System"
"Afro-Celt Sound System","Afro Celt Sound System"
"Afro-Celt Sound System ","Afro Celt Sound System"
"Afro Cuban All Stars","Afro-Cuban All Stars"
"Afro‐Cuban All Stars","Afro-Cuban All Stars"
"AfroCuban All Stars","Afro-Cuban All Stars"
"Afrocubismo","Afrocubism"
"Afrolicous","Afrolicious"
"After Dark","Dark Dark Dark"
"After The Fire","After the Fire"
"Again Again","Sorry Again"
"Against Me","Against Me!"
"Agents of Good Roots","Agents Of Good Roots"
"Age Of Chance","Age of Chance"
"Ages And Ages","Ages and Ages"
"AGF & Craig Armstrong","Craig Armstrong"
"Aggrolites","The Aggrolites"
"A Girl Called Edd","A Girl Called Eddy"
"`A Girl Called Eddy","A Girl Called Eddy"
"AG & John Robinson","John Robinson"
"Agness Obel","Agnes Obel"
"Agust Alsina","August Alsina"
"Agustus Pablo","Augustus Pablo"
"*Ahmad Jamal","Ahmad Jamal"
"Ahmad Jamal Trio","Ahmad Jamal"
"Ahmad, Ras Kass & Saafir","Ahmad, Ras Kass, Saafir"
"Aida Victoria","Adia Victoria"
"Aife O'Donovan","Aoife O'Donovan"
"AI Frank Sinatra"," Frank Sinatra "
"Ailce Russell","Alice Russell"
"Aimee Man","Man Man"
"Aimee Mann & Michael Penn","Aimee Mann and Michael Penn"
"Aimee Mann & Michael Penn ","Aimee Mann and Michael Penn "
"  Aine Minogue","Aine Minogue"
"Aine Minouge","Aine Minogue"
"Air "," Air"
"Airborne Toxic Event","The Airborne Toxic Event"
"Airel Pink's Haunted Graffiti","Ariel Pink's Haunted Graffiti"
"Aiugustus Pablo","Augustus Pablo"
"A. J. Croce","A.J. Croce"
"AJ Davila ","AJ Davila"
"AJ Dávila","AJ Davila"
"AJ Davilla","AJ Davila"
"A. J.  Roach","A. J. Roach"
"Aj Suede","Suede "
"AJ Suede","Suede "
"Akira Ishikawa & Count Buffalo","Buffalo Buffalo Buffalo"
"Akira S & As Garotas Que Erraram","Akira S Et As Garotas Que Eraaram"
"Akira S Et As Garotas Que Erraram","Akira S Et As Garotas Que Eraaram"
"AK- Momo","AK-Momo"
"  Akron/Family","Akron/Family"
"Akron / Family","Akron /  Family"
"Akron-Family","Akron Family"
"Alabama3","Alabama 3"
"Alabama 65","Alabama"
"Alabama Shakes ","Alabama Shakes"
"Alabama Shakes            ","The Alabama Shakes"
"Alah-Las","Allah-Las"
"Alain Rouge","Rouge Rouge"
"Alambama Shakes","Alabama Shakes"
"Al Anderson","Big Al Anderson"
"ALA.NIi","ALA.NI"
"Alanis Morisette","Alanis Morissette"
"Alanis Morissette ","Alanis Morissette"
"Alanis Morrisette","Alanis Morissette"
"Alanis Morrissette","Alanis Morissette"
"Alan Kingdom","Allan Kingdom"
"Alan Lorber Orchestra","Alan Lorber Orchestra & Chorus"
"Alan Oppenheimer","Oppenheimer"
"Alan Parsons Project","The Alan Parsons Project"
"Alan Price ","Alan Price"
"Alan Price Set","Alan Price"
"Alan Sherman","Allan Sherman"
"Alan Sparhawk & Trampled by Turtles","Alan Sparhawk with Trampled by Turtles"
"Alan Sparhawk with Trampled By Turtles","Alan Sparhawk with Trampled by Turtles"
"Alan Subola ","Alan Subola"
"Alan Tousaint","Alan Toussaint"
"Alasdair Fraser  and  Natalie Haas","Alasdair Fraser and Natalie Haas"
"Alasdair Fraser&Natalie Haas","Alasdair Fraser & Natalie Haas"
"Al Bain","Aly Bain"
"Albama Shakes","Alabama Shakes"
"Alber Collins","Albert Collins"
"Alberrta Hunter","Alberta Hunter"
"Alberta Cross ","Alberta Cross"
"Albert Ayer","Albert Ayler"
"Albert Ayler trio","Albert Ayler"
"Albert Ayler Trio","Albert Ayler"
"Albert Hammond jr","Albert Hammond"
"Albert Hammond JR","Albert Hammond"
"Albert Kin g","Albert King"
"Albert Kuvezin and Yat Kha","Albert Kuvezin and Yat-Kha"
"Albert Kuvezin and Yat‐Kha","Albert Kuvezin and Yat-Kha"
"Albert Kuvezin And Yat-Kha","Albert Kuvezin and Yat-Kha"
"Albert Kuvezin (Tuva)","Albert Kuvezin "
"Albert Kuvezin & Yat-Kha","Albert Kuvezin and Yat-Kha"
"Alberto Pla","Albert Pla"
"Al B Sure","Sure Sure"
"Al B. Sure!","Al B. Sure"
"Al. B Sure","Sure Sure"
"Album Leaf","The Album Leaf"
"Al Caiola ","Al Caiola"
"AlCaiola","Al Caiola"
"Al Calloway","Calloway"
"Alcemist","Alchemist"
"Al Charles","Charles"
" Alec Lytle & Them Rounders","Alec Lytle and Them Rounders"
"Alec Lytle  & Them Rounders","Alec Lytle and Them Rounders"
"Alec Lytle & Them Rounders","Alec Lytle and Them Rounders"
"Aleen Toussaint","Allen Toussaint"
"Alef Bocoum, Damon Albarn, Toumani Diabate and Friends","Afel Bocoum, Damon Albarn, Toumani Diabate and Friends"
"Alejandro Duran","Duran Duran"
"Alejandro Escovedo Band","Alejandro Escovedo"
"Alejandro Wscovedo","Alejandro Escovedo"
"Alejo Duran","Duran Duran"
" Alela Diane","Alela Diane"
"Alela Diane ","Alela Diane"
"Alen Tousaint","Allen Tousaint"
"Alergen","Allergen"
"Alexander 23","Alexander"
"Alexander Daf","Alexander"
"Alexander F","Alexander"
"Alexander IV","Alexander"
"Alexander Nut","Alexander"
"Alexander O' Neal","Alexander O'Neal"
"Alexander O’Neal","Alexander O'Neal"
"Alexander O'Neil","Alexander O'Neal"
"Alexander Von Mehren","Alexander von Mehren"
"Alex G ","Alex G"
"Alex G `","Alex G"
"Alex G.","Alex G"
"Alex G (Sandy)","(Sandy) Alex G"
" Alexi Murdoch","Alexi Murdoch"
"Alexi Murdoch
","Alexi Murdoch"
"Alexis K","Alexis HK"
"Alexis P. Suter Band","Alexis P. Suter"
"Alex Koo","Koo Koo"
"Alex Rodriguez"," Rodriguez"
"Alex Taylor","Alexis Taylor"
"Alf Danielson","Danielson"
"Al Green                  ","Al Green Lyle Lovett"
"Al Greene","Al Green"
"Al Green & Lyle Lovett","Al Green Lyle Lovett"
"Al Hibbler & Duke Ellington","Duke Ellington Orchestra with Al Hibbler"
"Ali  Akbar Khan","Ali Akbar Khan"
"Alica Meyers","Alicia Myers"
"Alic Cooper","Alice Cooper"
"*Alice Babs","Alice Babs"
"Alice Bowman","Alice Boman"
"Alice Coltraine","Alice Coltrane"
"Alice coltrane","Alice Coltrane"
" Alice Coltrane","Alice Coltrane"
"Alice Coltrane Trio","Alice Coltrane"
"Alice Contrane","Alice Coltrane"
"Alice Gerrard & Hazel Dickens","Alice Gerard & Hazel Dickens"
"Alice in Chains ","Alice in Chains"
"Alice Maria","Maria Alice"
"Alice Rusell","Alice Russell"
"Alice Rusell Feat. TM Juke","Alice Russel feat. TM Juke"
"Alice Russel","Alice Russell"
"Alice Russel Ft. TM Juke","Alice Russel feat. TM Juke"
"Alice Russell feat. TM Juke","Alice Russel feat. TM Juke"
"Alice Russell Feat. TM Juke","Alice Russel feat. TM Juke"
"Alice Russell Feat. TM Jukie","Alice Russel feat. TM Juke"
"Alice Russll","Alice Russell"
"Alicia Keys and Jack White","Jack White and Alicia Keys"
"Alicia Meyers","Alicia Myers"
"Alien Alien","Alien Book Club"
"Ali Farka Toue with Ry Cooder","Ali Farka Toure w/ Ry Cooder"
"Ali Farka Tour","Ali Farka Toure"
"Ali Farka Tour_","Ali Farka Toure"
"Ali Farka toure","Ali Farka Toure"
"Ali Farka Toure'","Ali Farka Toure"
"Ali Farka Touré","Ali Farka Toure"
"Ali Farka Toure and Ry Cooder","Ali Farka Toure & Ry Cooder"
"Ali Farka Toure and Toumani Diabate","Ali Farka Toure & Toumani Diabate"
"Ali Farka Toure And Toumani Diabate","Ali Farka Toure & Toumani Diabate"
"Ali Farka Toure And Toumani Diabete","Ali Farka Toure & Toumani Diabate"
"Ali Farka Toure Ry Cooder","Ali Farka Toure & Ry Cooder"
"Ali Farka Toure/Ry Cooder","Ali Farka Toure w/ Ry Cooder"
"Ali Farka Touré & Ry Cooder","Ali Farka Toure & Ry Cooder"
"Ali Farka Toure & Toumani Diabat","Ali Farka Toure & Toumani Diabate"
"Ali Farka Touré & Toumani Diabate","Ali Farka Toure & Toumani Diabate"
"Ali Farka Touré & Toumani Diabaté","Ali Farka Toure & Toumani Diabate"
"Ali Farka Touré & Toumani Diabaté ","Ali Farka Toure & Toumani Diabate"
"Ali Farka Toure & Toumani Diabete","Ali Farka Toure & Toumani Diabate"
"Ali Farka Toure with Ry Cooder","Ali Farka Toure w/ Ry Cooder"
"Ali Farka Toure w/Ry Cooder","Ali Farka Toure w/ Ry Cooder"
"Ali Farke Toure & Ry Cooder","Ali Farka Toure & Ry Cooder"
"Ali Farke Toure & Toumani Diabate","Ali Farka Toure & Toumani Diabate"
"Ali Farke Toure & Toumani Diabete","Ali Farka Toure & Toumani Diabate"
"Ali Farke Toure' w/Ry Cooder","Ali Farka Toure w/ Ry Cooder"
"Ali Shaheed & Adrian Younge","Adrian Younge and Ali Shaheed Muhammad"
"Ali Shaheed Muhammad & Adrian Younge","Adrian Younge and Ali Shaheed Muhammad"
"Ali Shaheed Muhammad and Adrian Younge","Adrian Younge and Ali Shaheed Muhammad"
"Ali Shaheed Muhammad And Adrian Younge","Adrian Younge and Ali Shaheed Muhammad"
" Alison Brown","Alison Brown"
"Alison Brown & Steve Martin","Alison Brown and Steve Martin"
"Alison Brown with Vince Gill","Alison Brown withi Vince Gill"
"Alison Kraus","Alison Krauss"
" Alison Krauss","Alison Krauss"
"Alison  Krauss","Alison Krauss"
"Alison Krauss And Gillian Welch","Alison Krauss and Gillian Welch"
"Alison Krauss And Union Station","Alison Krauss and Union Station"
"Alison Krauss & Gillian Welch & Emmylou Harris","Emmylou Harris, Alison Krauss & Gillian Welch"
"Alison Krauss & James Taylor","James Taylor & Alison Krauss"
"Alison Krauss + Union Station","Alison Krauss & Union Station"
"Alison Russell","Allison Russell"
"Al Kooper, Mike  Bloomfield & Stephen Stills","Mike Bloomfield, Al Kooper & Stephen Stills"
"Al Kooper, Mike Bloomfield & Stephen Stills","Mike Bloomfield, Al Kooper & Stephen Stills"
"Al Kooper, Mike Bloomfield, Stephen Stills","Mike Bloomfield, Al Kooper & Stephen Stills"
"Allah-Lahs","Allah-Las"
"Allah -Las","Allah-Las"
"Allah-Las ","Allah-Las"
"Allan Toussaint","Alan Toussaint"
"Allen Stone ","Allen Stone"
"  Allen Touissaint","Allen Toussaint"
"Allen Touissaint","Allen Toussaint"
"Allen Touissant","Allen Toussaint"
"   Allen Toussaint","Allen Toussaint"
"  Allen Toussaint","Allen Toussaint"
"Allen Toussaint &amp; Elvis Costello","Elvis Costello & Allen Toussaint"
"Allen Toussaint & Elvis Costello","Allan Toussaint & Elvis Costello"
"Allen Toussiant","Allen Toussaint"
"All Girl Summer fun Band","All Girl Summer Fun Band"
"Allice Rusell","Alice Russell"
"Allie","Allie X"
"Allison Brown","Alison Brown"
"Allison Cruthfield","Allison Crutchfield"
"Allison Kjrauss","Alison Krauss"
"Allison Kraus","Alison Krauss"
"Allison Krauss","Alison Krauss"
"Allison Krauss and Robert Plant","Alison Krauss and Robert Plant"
"Allison Krauss & Union Station","Alison Krauss & Union Station"
"Allison Mooner","Allison Moorer"
"Allison Mooorer","Allison Moorer"
"  Allison Moorer","Allison Moorer"
" Allison Moorer","Allison Moorer"
"Allison Moorer & Steve Earle","Steve Earle & Allison Moorer"
"Allison Mosshart And Carla Azar","Alison Mosshart and Carla Azar"
"Allison Mossheart And Carla Azar","Alison Mosshart and Carla Azar"
"Allison Moyet","Alison Moyet"
"Allison Russell ","Allison Russell"
"Allman Brothers Band, The","The Allman Brothers"
"Allmn Brothers Band","Allman Brothers Band"
"'Allo Darlin'","Allo Darlin'"
"Allo Darlin","Allo Darlin'"
"Allo Darlin’","Allo Darlin'"
"Allon Beausoleil","Beausoleil "
"All Saints","All the Saints"
"All Star Band","All Star Cajun Band"
"All Stars","Wu All Stars"
"All the Pretty Horses","All The Pretty Horses"
"Almira","Almitra"
"Al Nathan","Nathan "
"Aloe Blac","Aloe Blacc"
"Alpha 9","Alpha"
"Alpha Centauri","The Alpha Centauri"
"Alpha P","Alpha"
"Alpha S","Alpha"
"Alpha X","Alpha"
"Alpines","Alpine"
"Alpines & Dark Sky","Dark Dark Dark"
"Al Prince","Prince "
"Alsahra and the nubatones","Alsarah and the Nubatones"
"Alsahra and the Nubatones","Alsarah and the Nubatones"
"alsarah and the nubatones","Alsarah and the Nubatones"
"Alsarah And The Nubatones","Alsarah and the Nubatones"
"Alsarah & the Nubatones","Alsarah and the Nubatones"
"Al  Stewart","Al Stewart"
"Altered Imagines","Altered Images"
"Alternative","Alternative TV"
"Alternative TV ‎","Alternative TV"
"Althea And Donna","Althea and Donna"
"Al & The Vibrators","The Vibrators"
"Althia and Donna","Althea and Donna"
"Altin Gu_n","Altin Gun"
"Altin Gün","Altin Gun"
"Alt -J","Alt - J"
"Alt- J","Alt - J"
"Alt-J ","Alt-J"
"Altlas Sound","Atlas Sound"
"Alton Elis","Alton Ellis"
"Alton Elliis","Alton Ellis"
"Alton Ellis ","Alton Ellis"
"Aluminum Group","The Aluminum Group"
"Aluna George","AlunaGeorge"
"Alvays","Alvvays"
"Alvin & Alvin","Dave & Phil Alvin"
"Alvin and The Chipmunks","Alvin and the Chipmunks"
" Alvvays","Alvvays"
"Alvvays ","Alvvays"
"Alvvways","Alvvays"
"Al Williams","Alex Williams"
"Aly Bain &amp; Phil Cunningham","Aly Bain & Phil Cunningham"
"   Aly Bain & Phil Cunningham","Aly Bain & Phil Cunningham"
"  Aly Bain & Phil Cunningham","Aly Bain & Phil Cunningham"
" Aly Bain & Phil Cunningham","Aly Bain & Phil Cunningham"
"Aly Bain  &   Phil Cunningham","Aly Bain & Phil Cunningham"
"Aly Bain  &  Phil Cunningham","Aly Bain & Phil Cunningham"
"Alynda Lee Segarra","Alynda Segarra"
"Alynda Segara","Alynda Segarra"
"Amaaarae","Amaarae"
"Amaara","Amaarae"
"Amade Ardoin","Amede Ardoin"
"Amad Jamal","Ahmad Jamal"
"Amadou and mariam","Amadou and Mariam"
"Amadou And Mariam","Amadou and Mariam"
"Amadou and Mariam remix","Amadou and Mariam"
"Amadou and Miriam","Amadou and Mariam"
"Amadou et Maraiam","Amadou et Mariam"
"Amadou et Mariam ","Amadou et Mariam"
"Amadou Et Mariam","Amadou et Mariam"
"Amadou & Maram","Amadou & Mariam"
"Amadou & Maria","Amadou & Mariam"
"Amadou & Mariam                 ","Angelique Kidjo with Amadou & Mariam"
"Amadou + Mariam","Amadou & Mariam"
"Amadou Mariam","Amadou and Mariam"
"Amadou & Mariam (Mali)","Amadou & Mariam"
"Amadou & Marium","Amadou & Mariam"
"Amadou & Maryam","Amadou & Mariam"
"Amadou & Miriam","Amadou & Mariam"
"Amanda Anne Platt And The Honeycutters","Amanda Anne Platt and the Honeycutters"
"Amanda Anne Platt & The Honeycutters","Amanda Anne Platt and the Honeycutters"
"Amanda Black","Amanda Blank"
"Amanda Palmer & The Grand Theft Orchestra","Amanda Palmer and The Grand Theft Orchestra"
"Amanda Shire","Amanda Shires"
"  Amanda Shires","Amanda Shires"
"Amanda Shires & Bobbie Nelson","Amanda Shires and Bobbie Nelson"
"Am and Shawn Lee","AM and Shawn Lee"
"Amateurs","Amateur"
"Amber Mark ","Amber Mark"
"Amber Marks","Amber Mark"
"Ambient Noise","Noise Noise Noise"
"Ambosia","Ambrosia"
"Ambulance","Ambulance LTD"
"Amee Mann","Aimee Mann"
"  Amelia","Amelia"
"Amel Larrieux & The Roots","Amel Larrieux ft. The Roots"
"Amercian Music Club","American Music Club"
"Amercian Wrestlers","American Wrestlers"
"American Analog Set","The American Analog Set"
"American Aquarium ","American Aquarium"
"American Breed","The American Breed"
"American Breed, The","The American Breed"
"American Cream Band","American Cream"
"American Creamw","American Cream"
"American Dream","American Cream"
"American Musc Club","American Music Club"
"American Music","American Music Club"
"American Noise","Noise Noise Noise"
"|American Routes|","American Routes"
"Amillionsons","amillionsons"
"Ami Suzuki Joins Buffalo Daughter","Buffalo Buffalo Buffalo"
"Ami Taf Raf","Ami Taf Ra"
"Ammon Contact","AmmonContact"
"AmmonContact ","AmmonContact"
"Ammoncontract","Ammoncontact"
"Amorphous Androgynous","The Amorphous Androgynous"
"  Amos Lee"," Amos Lee"
"Amos Lee                  ","The Wood Brothers with Amos Lee"
"Amos Lee�","Amos Lee"
"Amos MIlburn","Amos Milburn"
"Amos Milburn Jr.","Amos Milburn"
"Amp Fidler","Amp Fiddler"
"AmpLive","Amp Live"
